,,SURVIVED,
1481255482,lLmDogjNMomtIcjU,SURVIVED,mateus74
1481255939,wIhgluGVNeppcwUL,DECEASED,|BT|4rii^
1481256393,UgnnOaErgXqqDPKN,DECEASED,|BT|4rii^
1481257300,rGabBshMOlTyyosl,SURVIVED,RayDor
1481258216,JKKJmYNRTHfnlCgF,DECEASED,"|BT|/\/\"
1481259207,cBYCLAWSOTvAQHxj,DECEASED,iki
1481261102,neDpMOBxaNYWkWuU,SURVIVED,iki
1481261601,klvuiZCyWhRyjbLD,DECEASED,iki
1481262255,BalNIsIDAnbUrUHK,SURVIVED,iki
1481262534,AOgwZzwDPULRSscl,SURVIVED,JULIO
1481263449,WtHxnmhVxNSLbyRM,SURVIVED,JULIO
1481264366,cNjBePReWxrXMCOB,SURVIVED,JULIO
1481267511,SimRtQaVLkKJwOjU,SURVIVED,Shadow
1481268839,JNovsXaTPUlhiVaB,SURVIVED,ObeisantDhow27
1481269159,BGDifKszWFJTWVVN,DECEASED,Shadow
1481270044,GUtLLqICvEZufOZW,SURVIVED,SafeOyster89
1481270093,KYPxQiUCWjaxPees,SURVIVED,SafeOyster89
1481271884,NFDhTkaloVbkbHEj,DECEASED,SafeOyster89
1481272664,MKTMvRbDAHqZhTVX,DECEASED,pika333
1481272851,cSQUzFOdzjwjtqmk,SURVIVED,JitteryGums38
1481273230,HbbaaZxzaBOJtueU,DECEASED,JitteryGums38
1481273564,sAPFcvFCDbsIEofI,DECEASED,carsonchan3250
1481273887,bWCsnpfkCMCfgkGy,DECEASED,carsonchan3250
1481274200,SZWWVAqRhuaKkalV,SURVIVED,carsonchan3250
1481274747,CBOzhxStjVbOGCzt,DECEASED,Rizvan05
1481274979,cffaTEVUUQhPQFTj,DECEASED,Rizvan05
1481275155,vverfWoDbolhFRvQ,SURVIVED,Rizvan05
1481275456,SainhAsjonVvBuEI,DECEASED,carsonchan3250
1481276176,IyNSjfjVzochAqEo,SURVIVED,Martin268
1481277010,HKCeFfHBoVUnllZx,SURVIVED,pika333
1481277502,LrbnNwGAAViDYCtJ,DECEASED,Martin268
1481278402,DmktQAeJXMvZANFg,SURVIVED,VivaciousTunnels27
1481279099,JFcXHCRZXpmbsvbW,SURVIVED,pika333
1481280183,jbaEnPHbxtVCtcyt,SURVIVED,pika333
1481280708,nCRAXojMOBfRvfLY,DECEASED,VivaciousTunnels27
1481280803,sxYwUiMRyhCoVvIa,SURVIVED,Rizvan05
1481281148,qMNJwrIEYXUzjXYx,DECEASED,Rizvan05
1481281775,NFsCdvkNaNAJnOqW,DECEASED,Shadow
1481282680,tnsfZVNNzcPYFMVb,SURVIVED,PewDiePie
1481283599,kVONrdzncuQKhrkv,SURVIVED,PewDiePie
1481283877,fWRRrVbjArRjaPAu,DECEASED,lBTlanto
1481284566,ZHbbHAShXiMgufxJ,SURVIVED,Shadow
1481284920,YwEycGgCeiVFARlh,DECEASED,"|BT|/\/\"
1481285010,YyfkjGriqrOVBQAP,DECEASED,lBTlanto
1481285066,bXCdWBWOlTBEBRPx,SURVIVED,MLG.
1481285191,loXMcUSZlrwBpGRc,DECEASED,Shadow
1481285505,OQVmsUcSDQNjHRyE,DECEASED,MLG.
1481286392,kAiOlIXoxEXHzXiQ,SURVIVED,#|h4x|_Gyu_
1481287154,bykbDrLENToAceCW,DECEASED,DeadlyRaccoon
1481287450,mnXvhIbxdnRyXiCA,SURVIVED,{MM}Antonipro
1481288368,bcwrQuboVJowAlqW,DECEASED,#|h4x|_Gyu_
1481289153,LhTbDcPFTbSLhsRf,DECEASED,KILLER123
1481289409,satLqPiqLtAFmajD,DECEASED,#|h4x|_Gyu_
1481289486,hPGzOyFeMuJcAwjm,DECEASED,KILLER123
1481289696,XHOtVrVEqnsuNiwS,DECEASED,PunyTarsier82
1481290493,MvQbVeREWiXVoEdF,DECEASED,KILLER123
1481290665,QMhIIfVwhoMLtJUn,DECEASED,PunyTarsier82
1481291578,pHzWssmLVDcfFGbq,SURVIVED,CheapAbdomen17
1481292791,NFtvZlZCkHQZvkcc,DECEASED,Hafensaenger
1481292870,SjHhoCJgekioFdni,SURVIVED,Daniel5579
1481293022,XFniVeyyLmhZfsTn,DECEASED,KILLER123
1481293371,oyujwtcoBkmBIzWZ,DECEASED,ThinkableConductor65
1481294012,iJrPNtzQNcXvJVrS,DECEASED,KILLER123
1481294928,XuudUkyMFcaIYGzB,SURVIVED,The_BoosBG
1481295229,FseHJIxPNuZcaSfz,DECEASED,lBTl4rii
1481295275,nIPBAZjHGqoQEtzl,SURVIVED,lBTl4rii
1481296185,sxyJhfEzzPFYnZjs,SURVIVED,{AGZ}Sr.PandaCraft
1481296351,gbJVNTKumBWzcaHh,DECEASED,lBTl4rii
1481296414,HmwPDPJDVEuVajoJ,SURVIVED,lBTl4rii
1481296561,LlBQykpPIcmJMxvY,DECEASED,{MM}Antonipro
1481296741,JObIgazRecAckHmC,SURVIVED,_pierun
1481296871,YJFkvLcRKoxnGHAP,DECEASED,{MM}Antonipro
1481297050,uLSITEhViYYHiBNY,DECEASED,Daniel:v
1481297739,ilpaICpHwJoGCgPF,DECEASED,Spanish
1481297872,HmwRbmIBTqDNPniP,SURVIVED,{MM}Antonipro
1481298193,diadDWvbKKBsRAkj,DECEASED,JULIALINDAMAIS
1481298315,OjihFmlykDCXrIDn,DECEASED,NaMaIkAtI;)
1481298434,jElTEXkbadGykINp,DECEASED,Daniel:v
1481298679,WdxTlytdoCdrCzds,DECEASED,PrincesaD82|Ex
1481299599,dWjAmTvCAOIIqsJI,SURVIVED,00(TIGER)
1481299658,PPlCrrIKFFYeuayw,DECEASED,PrincesaD82|Ex
1481299722,HrwgNMNxYdZbDDUh,DECEASED,SNEKIN
1481300022,XqBNIncOnFRalPnD,DECEASED,Profo250
1481300124,IrRouGleimNSJtIR,DECEASED,{MM}Antonipro
1481301026,NxusdKGVNDItFXVj,SURVIVED,HurriedClavier45
1481301937,ZGEPVjCyKqbVlFNc,SURVIVED,ObeisantDhow27
1481302305,AsmnfbUjRWSHaEhc,DECEASED,PrincesaD82|Ex
1481302424,egIqBuqsJzGInnfP,DECEASED,xXJesuProXx
1481303330,hCTkfohDpMSnPDaL,SURVIVED,worldones
1481303591,FciSDEiMPugcUTvV,DECEASED,carsonchan3250
1481303830,huEIEtBQVaPmJDKg,DECEASED,SamCruz0511
1481304132,nhmhtrSpxyncfHsM,DECEASED,GratisAlder90
1481304270,wXKQLwXItASOPeIS,SURVIVED,KILLER123
1481304525,nAkSvTircWKccmwG,DECEASED,Spanish
1481305129,prQGWfUQpXmkrDWD,DECEASED,Pock88
1481306023,ZIAYXqwnxuauYSMQ,SURVIVED,Profo250
1481306974,FyhjBMrAKzwHQyOo,SURVIVED,KILLER123
1481307221,VYCKInpeWYVNtmiC,DECEASED,InsidiousRhino42
1481307354,wMyMszErshFFNCse,SURVIVED,MadDragon777
1481307722,RsSHPdEmtfsDQBkt,DECEASED,KrankyNUgoi
1481307839,QSbXNHYSHbblsaVJ,DECEASED,MadDragon777
1481308068,wdrKrTTaFdDwVTaL,DECEASED,UsamaBinladin
